Run	analysis_type (exp)	analysis_type (run)	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Collection_Date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	flowcell_barcode (run)	geographic_location_(country_and/or_sea	_region)	gssr_id (exp)	gssr_id (run)	instrument_name (run)	Instrument	isolation-source	lane (run)	Library Name	library_type (exp)	library_type (run)	LibraryLayout	LibrarySelection	LibrarySource	lsid (exp)	lsid (run)	material_type (exp)	Organism	Platform	project (exp)	project (run)	read_group_id (run)	ReleaseDate	run_barcode (run)	run_name (run)	Sample Name	SAMPLE_TYPE	screened (run)	specific_host	SRA Study	Strain	work_request (exp)	work_request (run)
SRR1596235	AssemblyWithoutReference	AssemblyWithoutReference	AMPLICON	350	19497450	PRJNA241153	SAMN02688558	"Microbe\, viral or environmental"	12035833	BI	missing	public	"bam,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX719472	A2246	USA	68634.2	68634.2	SL-MAB	Illumina MiSeq	stool	1	Solexa-125847	16S	16S	PAIRED	PCR	METAGENOMIC	BROAD:SEQUENCING_SAMPLE:68634.2	BROAD:SEQUENCING_SAMPLE:68634.2	Genomic DNA	human gut metagenome	ILLUMINA	G24507	G24507	A2246.1	2014-10-02T00:00:00Z	A2246121030	121030_M00140_0008_000000000-A2246	100090	missing	yes	Homo sapiens	SRP048547	100090	32952	32952	
SRR1596236	AssemblyWithoutReference	AssemblyWithoutReference	AMPLICON	350	9871400	PRJNA241153	SAMN02688515	"Microbe\, viral or environmental"	6017005	BI	missing	public	"bam,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX719473	A2246	USA	68743.2	68743.2	SL-MAB	Illumina MiSeq	stool	1	Solexa-125718	16S	16S	PAIRED	PCR	METAGENOMIC	BROAD:SEQUENCING_SAMPLE:68743.2	BROAD:SEQUENCING_SAMPLE:68743.2	Genomic DNA	human gut metagenome	ILLUMINA	G24610	G24610	A2246.1	2014-10-02T00:00:00Z	A2246121030	121030_M00140_0008_000000000-A2246	7911	missing	yes	Homo sapiens	SRP048547	7911	32951	32951	
SRR1596237	AssemblyWithoutReference	AssemblyWithoutReference	AMPLICON	350	20739600	PRJNA241153	SAMN02688528	"Microbe\, viral or environmental"	12500639	BI	missing	public	"bam,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX719474	A2246	USA	68602.2	68602.2	SL-MAB	Illumina MiSeq	stool	1	Solexa-125818	16S	16S	PAIRED	PCR	METAGENOMIC	BROAD:SEQUENCING_SAMPLE:68602.2	BROAD:SEQUENCING_SAMPLE:68602.2	Genomic DNA	human gut metagenome	ILLUMINA	G24477	G24477	A2246.1	2014-10-02T00:00:00Z	A2246121030	121030_M00140_0008_000000000-A2246	100015	missing	yes	Homo sapiens	SRP048547	100015	32952	32952	
SRR1596238	AssemblyWithoutReference	AssemblyWithoutReference	AMPLICON	350	24614100	PRJNA241153	SAMN02688553	"Microbe\, viral or environmental"	15156506	BI	missing	public	"bam,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX719475	A2246	USA	68629.2	68629.2	SL-MAB	Illumina MiSeq	stool	1	Solexa-125842	16S	16S	PAIRED	PCR	METAGENOMIC	BROAD:SEQUENCING_SAMPLE:68629.2	BROAD:SEQUENCING_SAMPLE:68629.2	Genomic DNA	human gut metagenome	ILLUMINA	G24502	G24502	A2246.1	2014-10-02T00:00:00Z	A2246121030	121030_M00140_0008_000000000-A2246	100085	missing	yes	Homo sapiens	SRP048547	100085	32952	32952	
SRR1596239	AssemblyWithoutReference	AssemblyWithoutReference	AMPLICON	350	15647100	PRJNA241153	SAMN02688538	"Microbe\, viral or environmental"	9646755	BI	missing	public	"bam,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX719476	A2246	USA	68613.2	68613.2	SL-MAB	Illumina MiSeq	stool	1	Solexa-125828	16S	16S	PAIRED	PCR	METAGENOMIC	BROAD:SEQUENCING_SAMPLE:68613.2	BROAD:SEQUENCING_SAMPLE:68613.2	Genomic DNA	human gut metagenome	ILLUMINA	G24487	G24487	A2246.1	2014-10-02T00:00:00Z	A2246121030	121030_M00140_0008_000000000-A2246	100060	missing	yes	Homo sapiens	SRP048547	100060	32952	32952	
SRR1596240	AssemblyWithoutReference	AssemblyWithoutReference	AMPLICON	350	19088650	PRJNA241153	SAMN02688560	"Microbe\, viral or environmental"	11656164	BI	missing	public	"bam,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX719477	A2246	USA	68636.2	68636.2	SL-MAB	Illumina MiSeq	stool	1	Solexa-125849	16S	16S	PAIRED	PCR	METAGENOMIC	BROAD:SEQUENCING_SAMPLE:68636.2	BROAD:SEQUENCING_SAMPLE:68636.2	Genomic DNA	human gut metagenome	ILLUMINA	G24509	G24509	A2246.1	2014-10-02T00:00:00Z	A2246121030	121030_M00140_0008_000000000-A2246	100092	missing	yes	Homo sapiens	SRP048547	100092	32952	32952	
SRR1596241	AssemblyWithoutReference	AssemblyWithoutReference	AMPLICON	350	17266200	PRJNA241153	SAMN02688517	"Microbe\, viral or environmental"	10545034	BI	missing	public	"bam,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX719478	A2246	USA	68729.2	68729.2	SL-MAB	Illumina MiSeq	stool	1	Solexa-125709	16S	16S	PAIRED	PCR	METAGENOMIC	BROAD:SEQUENCING_SAMPLE:68729.2	BROAD:SEQUENCING_SAMPLE:68729.2	Genomic DNA	human gut metagenome	ILLUMINA	G24597	G24597	A2246.1	2014-10-02T00:00:00Z	A2246121030	121030_M00140_0008_000000000-A2246	7855	missing	yes	Homo sapiens	SRP048547	7855	32951	32951	
SRR1596242	AssemblyWithoutReference	AssemblyWithoutReference	AMPLICON	350	5825750	PRJNA241153	SAMN02688514	"Microbe\, viral or environmental"	3527645	BI	missing	public	"bam,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX719479	A2246	USA	68726.2	68726.2	SL-MAB	Illumina MiSeq	stool	1	Solexa-125707	16S	16S	PAIRED	PCR	METAGENOMIC	BROAD:SEQUENCING_SAMPLE:68726.2	BROAD:SEQUENCING_SAMPLE:68726.2	Genomic DNA	human gut metagenome	ILLUMINA	G24594	G24594	A2246.1	2014-10-02T00:00:00Z	A2246121030	121030_M00140_0008_000000000-A2246	7662	missing	yes	Homo sapiens	SRP048547	7662	32951	32951	
SRR1596243	AssemblyWithoutReference	AssemblyWithoutReference	AMPLICON	350	17584000	PRJNA241153	SAMN02688525	"Microbe\, viral or environmental"	10716404	BI	missing	public	"bam,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX719480	A2246	USA	68598.2	68598.2	SL-MAB	Illumina MiSeq	stool	1	Solexa-125815	16S	16S	PAIRED	PCR	METAGENOMIC	BROAD:SEQUENCING_SAMPLE:68598.2	BROAD:SEQUENCING_SAMPLE:68598.2	Genomic DNA	human gut metagenome	ILLUMINA	G24474	G24474	A2246.1	2014-10-02T00:00:00Z	A2246121030	121030_M00140_0008_000000000-A2246	100001	missing	yes	Homo sapiens	SRP048547	100001	32952	32952	
SRR1596244	AssemblyWithoutReference	AssemblyWithoutReference	AMPLICON	350	8753150	PRJNA241153	SAMN02688540	"Microbe\, viral or environmental"	5457155	BI	missing	public	"bam,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX719481	A2246	USA	68615.2	68615.2	SL-MAB	Illumina MiSeq	stool	1	Solexa-125830	16S	16S	PAIRED	PCR	METAGENOMIC	BROAD:SEQUENCING_SAMPLE:68615.2	BROAD:SEQUENCING_SAMPLE:68615.2	Genomic DNA	human gut metagenome	ILLUMINA	G24489	G24489	A2246.1	2014-10-02T00:00:00Z	A2246121030	121030_M00140_0008_000000000-A2246	100065	missing	yes	Homo sapiens	SRP048547	100065	32952	32952	
SRR1596245	AssemblyWithoutReference	AssemblyWithoutReference	AMPLICON	350	2881900	PRJNA241153	SAMN02688529	"Microbe\, viral or environmental"	1813805	BI	missing	public	"bam,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX719482	A2246	USA	68603.2	68603.2	SL-MAB	Illumina MiSeq	stool	1	Solexa-125819	16S	16S	PAIRED	PCR	METAGENOMIC	BROAD:SEQUENCING_SAMPLE:68603.2	BROAD:SEQUENCING_SAMPLE:68603.2	Genomic DNA	human gut metagenome	ILLUMINA	G24478	G24478	A2246.1	2014-10-02T00:00:00Z	A2246121030	121030_M00140_0008_000000000-A2246	100016	missing	yes	Homo sapiens	SRP048547	100016	32952	32952	
SRR1596246	AssemblyWithoutReference	AssemblyWithoutReference	AMPLICON	350	6510700	PRJNA241153	SAMN02688509	"Microbe\, viral or environmental"	3978841	BI	missing	public	"bam,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX719483	A2246	USA	68736.2	68736.2	SL-MAB	Illumina MiSeq	stool	1	Solexa-125711	16S	16S	PAIRED	PCR	METAGENOMIC	BROAD:SEQUENCING_SAMPLE:68736.2	BROAD:SEQUENCING_SAMPLE:68736.2	Genomic DNA	human gut metagenome	ILLUMINA	G24603	G24603	A2246.1	2014-10-02T00:00:00Z	A2246121030	121030_M00140_0008_000000000-A2246	7879	missing	yes	Homo sapiens	SRP048547	7879	32951	32951	
SRR1596247	AssemblyWithoutReference	AssemblyWithoutReference	AMPLICON	350	26159700	PRJNA241153	SAMN02688522	"Microbe\, viral or environmental"	15887043	BI	missing	public	"bam,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX719484	A2246	USA	68740.2	68740.2	SL-MAB	Illumina MiSeq	stool	1	Solexa-125715	16S	16S	PAIRED	PCR	METAGENOMIC	BROAD:SEQUENCING_SAMPLE:68740.2	BROAD:SEQUENCING_SAMPLE:68740.2	Genomic DNA	human gut metagenome	ILLUMINA	G24607	G24607	A2246.1	2014-10-02T00:00:00Z	A2246121030	121030_M00140_0008_000000000-A2246	7908	missing	yes	Homo sapiens	SRP048547	7908	32951	32951	
SRR1596248	AssemblyWithoutReference	AssemblyWithoutReference	AMPLICON	350	25698050	PRJNA241153	SAMN02688549	"Microbe\, viral or environmental"	15976655	BI	missing	public	"bam,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX719485	A2246	USA	68625.2	68625.2	SL-MAB	Illumina MiSeq	stool	1	Solexa-125839	16S	16S	PAIRED	PCR	METAGENOMIC	BROAD:SEQUENCING_SAMPLE:68625.2	BROAD:SEQUENCING_SAMPLE:68625.2	Genomic DNA	human gut metagenome	ILLUMINA	G24498	G24498	A2246.1	2014-10-02T00:00:00Z	A2246121030	121030_M00140_0008_000000000-A2246	100079	missing	yes	Homo sapiens	SRP048547	100079	32952	32952	
SRR1596249	AssemblyWithoutReference	AssemblyWithoutReference	AMPLICON	350	12624850	PRJNA241153	SAMN02688584	"Microbe\, viral or environmental"	7724270	BI	missing	public	"bam,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX719486	A2246	USA	68664.2	68664.2	SL-MAB	Illumina MiSeq	stool	1	Solexa-125864	16S	16S	PAIRED	PCR	METAGENOMIC	BROAD:SEQUENCING_SAMPLE:68664.2	BROAD:SEQUENCING_SAMPLE:68664.2	Genomic DNA	human gut metagenome	ILLUMINA	G24533	G24533	A2246.1	2014-10-02T00:00:00Z	A2246121030	121030_M00140_0008_000000000-A2246	100158	missing	yes	Homo sapiens	SRP048547	100158	32952	32952	
SRR1596250	AssemblyWithoutReference	AssemblyWithoutReference	AMPLICON	350	15964550	PRJNA241153	SAMN02688546	"Microbe\, viral or environmental"	9682928	BI	missing	public	"bam,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX719487	A2246	USA	68622.2	68622.2	SL-MAB	Illumina MiSeq	stool	1	Solexa-125836	16S	16S	PAIRED	PCR	METAGENOMIC	BROAD:SEQUENCING_SAMPLE:68622.2	BROAD:SEQUENCING_SAMPLE:68622.2	Genomic DNA	human gut metagenome	ILLUMINA	G24495	G24495	A2246.1	2014-10-02T00:00:00Z	A2246121030	121030_M00140_0008_000000000-A2246	100075	missing	yes	Homo sapiens	SRP048547	100075	32952	32952	
SRR1596251	AssemblyWithoutReference	AssemblyWithoutReference	AMPLICON	350	23781450	PRJNA241153	SAMN02688527	"Microbe\, viral or environmental"	15138455	BI	missing	public	"bam,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX719488	A2246	USA	68600.2	68600.2	SL-MAB	Illumina MiSeq	stool	1	Solexa-125817	16S	16S	PAIRED	PCR	METAGENOMIC	BROAD:SEQUENCING_SAMPLE:68600.2	BROAD:SEQUENCING_SAMPLE:68600.2	Genomic DNA	human gut metagenome	ILLUMINA	G24476	G24476	A2246.1	2014-10-02T00:00:00Z	A2246121030	121030_M00140_0008_000000000-A2246	100009	missing	yes	Homo sapiens	SRP048547	100009	32952	32952	
SRR1596252	AssemblyWithoutReference	AssemblyWithoutReference	AMPLICON	350	16419200	PRJNA241153	SAMN02688533	"Microbe\, viral or environmental"	10192559	BI	missing	public	"bam,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX719489	A2246	USA	68608.2	68608.2	SL-MAB	Illumina MiSeq	stool	1	Solexa-125823	16S	16S	PAIRED	PCR	METAGENOMIC	BROAD:SEQUENCING_SAMPLE:68608.2	BROAD:SEQUENCING_SAMPLE:68608.2	Genomic DNA	human gut metagenome	ILLUMINA	G24482	G24482	A2246.1	2014-10-02T00:00:00Z	A2246121030	121030_M00140_0008_000000000-A2246	100048	missing	yes	Homo sapiens	SRP048547	100048	32952	32952	
SRR1596253	AssemblyWithoutReference	AssemblyWithoutReference	AMPLICON	350	17778950	PRJNA241153	SAMN02688531	"Microbe\, viral or environmental"	10949042	BI	missing	public	"bam,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX719490	A2246	USA	68606.2	68606.2	SL-MAB	Illumina MiSeq	stool	1	Solexa-125821	16S	16S	PAIRED	PCR	METAGENOMIC	BROAD:SEQUENCING_SAMPLE:68606.2	BROAD:SEQUENCING_SAMPLE:68606.2	Genomic DNA	human gut metagenome	ILLUMINA	G24480	G24480	A2246.1	2014-10-02T00:00:00Z	A2246121030	121030_M00140_0008_000000000-A2246	100046	missing	yes	Homo sapiens	SRP048547	100046	32952	32952	
SRR1596254	AssemblyWithoutReference	AssemblyWithoutReference	AMPLICON	350	20519100	PRJNA241153	SAMN02688548	"Microbe\, viral or environmental"	12613122	BI	missing	public	"bam,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX719491	A2246	USA	68624.2	68624.2	SL-MAB	Illumina MiSeq	stool	1	Solexa-125838	16S	16S	PAIRED	PCR	METAGENOMIC	BROAD:SEQUENCING_SAMPLE:68624.2	BROAD:SEQUENCING_SAMPLE:68624.2	Genomic DNA	human gut metagenome	ILLUMINA	G24497	G24497	A2246.1	2014-10-02T00:00:00Z	A2246121030	121030_M00140_0008_000000000-A2246	100078	missing	yes	Homo sapiens	SRP048547	100078	32952	32952	
SRR1596255	AssemblyWithoutReference	AssemblyWithoutReference	AMPLICON	350	26117000	PRJNA241153	SAMN02688534	"Microbe\, viral or environmental"	16345243	BI	missing	public	"bam,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX719492	A2246	USA	68609.2	68609.2	SL-MAB	Illumina MiSeq	stool	1	Solexa-125824	16S	16S	PAIRED	PCR	METAGENOMIC	BROAD:SEQUENCING_SAMPLE:68609.2	BROAD:SEQUENCING_SAMPLE:68609.2	Genomic DNA	human gut metagenome	ILLUMINA	G24483	G24483	A2246.1	2014-10-02T00:00:00Z	A2246121030	121030_M00140_0008_000000000-A2246	100049	missing	yes	Homo sapiens	SRP048547	100049	32952	32952	
SRR1596256	AssemblyWithoutReference	AssemblyWithoutReference	AMPLICON	350	24698450	PRJNA241153	SAMN02688563	"Microbe\, viral or environmental"	15254227	BI	missing	public	"bam,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX719493	A2246	USA	68639.2	68639.2	SL-MAB	Illumina MiSeq	stool	1	Solexa-125852	16S	16S	PAIRED	PCR	METAGENOMIC	BROAD:SEQUENCING_SAMPLE:68639.2	BROAD:SEQUENCING_SAMPLE:68639.2	Genomic DNA	human gut metagenome	ILLUMINA	G24512	G24512	A2246.1	2014-10-02T00:00:00Z	A2246121030	121030_M00140_0008_000000000-A2246	100099	missing	yes	Homo sapiens	SRP048547	100099	32952	32952	
SRR1596257	AssemblyWithoutReference	AssemblyWithoutReference	AMPLICON	350	26957700	PRJNA241153	SAMN02688530	"Microbe\, viral or environmental"	16532063	BI	missing	public	"bam,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX719494	A2246	USA	68605.2	68605.2	SL-MAB	Illumina MiSeq	stool	1	Solexa-125820	16S	16S	PAIRED	PCR	METAGENOMIC	BROAD:SEQUENCING_SAMPLE:68605.2	BROAD:SEQUENCING_SAMPLE:68605.2	Genomic DNA	human gut metagenome	ILLUMINA	G24479	G24479	A2246.1	2014-10-02T00:00:00Z	A2246121030	121030_M00140_0008_000000000-A2246	100043	missing	yes	Homo sapiens	SRP048547	100043	32952	32952	
SRR1596258	AssemblyWithoutReference	AssemblyWithoutReference	AMPLICON	350	26685750	PRJNA241153	SAMN02688565	"Microbe\, viral or environmental"	16394924	BI	missing	public	"bam,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX719495	A2246	USA	68641.2	68641.2	SL-MAB	Illumina MiSeq	stool	1	Solexa-125854	16S	16S	PAIRED	PCR	METAGENOMIC	BROAD:SEQUENCING_SAMPLE:68641.2	BROAD:SEQUENCING_SAMPLE:68641.2	Genomic DNA	human gut metagenome	ILLUMINA	G24514	G24514	A2246.1	2014-10-02T00:00:00Z	A2246121030	121030_M00140_0008_000000000-A2246	100101	missing	yes	Homo sapiens	SRP048547	100101	32952	32952	
SRR1596259	AssemblyWithoutReference	AssemblyWithoutReference	AMPLICON	350	32115300	PRJNA241153	SAMN02688516	"Microbe\, viral or environmental"	19651660	BI	missing	public	"bam,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX719496	A2246	USA	68744.2	68744.2	SL-MAB	Illumina MiSeq	stool	1	Solexa-125719	16S	16S	PAIRED	PCR	METAGENOMIC	BROAD:SEQUENCING_SAMPLE:68744.2	BROAD:SEQUENCING_SAMPLE:68744.2	Genomic DNA	human gut metagenome	ILLUMINA	G24611	G24611	A2246.1	2014-10-02T00:00:00Z	A2246121030	121030_M00140_0008_000000000-A2246	7912	missing	yes	Homo sapiens	SRP048547	7912	32951	32951	
SRR1596260	AssemblyWithoutReference	AssemblyWithoutReference	AMPLICON	350	17812200	PRJNA241153	SAMN02688557	"Microbe\, viral or environmental"	10884611	BI	missing	public	"bam,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX719497	A2246	USA	68633.2	68633.2	SL-MAB	Illumina MiSeq	stool	1	Solexa-125846	16S	16S	PAIRED	PCR	METAGENOMIC	BROAD:SEQUENCING_SAMPLE:68633.2	BROAD:SEQUENCING_SAMPLE:68633.2	Genomic DNA	human gut metagenome	ILLUMINA	G24506	G24506	A2246.1	2014-10-02T00:00:00Z	A2246121030	121030_M00140_0008_000000000-A2246	100089	missing	yes	Homo sapiens	SRP048547	100089	32952	32952	
SRR1596261	AssemblyWithoutReference	AssemblyWithoutReference	AMPLICON	350	6097350	PRJNA241153	SAMN02688537	"Microbe\, viral or environmental"	3771323	BI	missing	public	"bam,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX719498	A2246	USA	68612.2	68612.2	SL-MAB	Illumina MiSeq	stool	1	Solexa-125827	16S	16S	PAIRED	PCR	METAGENOMIC	BROAD:SEQUENCING_SAMPLE:68612.2	BROAD:SEQUENCING_SAMPLE:68612.2	Genomic DNA	human gut metagenome	ILLUMINA	G24486	G24486	A2246.1	2014-10-02T00:00:00Z	A2246121030	121030_M00140_0008_000000000-A2246	100058	missing	yes	Homo sapiens	SRP048547	100058	32952	32952	
SRR1596262	AssemblyWithoutReference	AssemblyWithoutReference	AMPLICON	350	20071450	PRJNA241153	SAMN02688547	"Microbe\, viral or environmental"	12360482	BI	missing	public	"bam,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX719499	A2246	USA	68623.2	68623.2	SL-MAB	Illumina MiSeq	stool	1	Solexa-125837	16S	16S	PAIRED	PCR	METAGENOMIC	BROAD:SEQUENCING_SAMPLE:68623.2	BROAD:SEQUENCING_SAMPLE:68623.2	Genomic DNA	human gut metagenome	ILLUMINA	G24496	G24496	A2246.1	2014-10-02T00:00:00Z	A2246121030	121030_M00140_0008_000000000-A2246	100077	missing	yes	Homo sapiens	SRP048547	100077	32952	32952	
SRR1596263	AssemblyWithoutReference	AssemblyWithoutReference	AMPLICON	350	4086250	PRJNA241153	SAMN02688556	"Microbe\, viral or environmental"	2583486	BI	missing	public	"bam,sra"	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	SRX719500	A2246	USA	68632.2	68632.2	SL-MAB	Illumina MiSeq	stool	1	Solexa-125845	16S	16S	PAIRED	PCR	METAGENOMIC	BROAD:SEQUENCING_SAMPLE:68632.2	BROAD:SEQUENCING_SAMPLE:68632.2	Genomic DNA	human gut metagenome	ILLUMINA	G24505	G24505	A2246.1	2014-10-02T00:00:00Z	A2246121030	121030_M00140_0008_000000000-A2246	100088	missing	yes	Homo sapiens	SRP048547	100088	32952	32952	
